Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
113;Métro;LA MUETTE;2114924;9;;;;;Paris;16
200;Métro;LES AGNETTES;1283180;13;;;;;Asnières sur Seine;
116;Métro;MAIRIE D'ISSY;2083392;12;;;;;Issy Les Moulineaux;
140;Métro;CHAMPS-ELYSEES – CLEMENCEAU;1735350;1;13;;;;Paris;8
117;Métro;CHATEAU D'EAU;2069680;4;;;;;Paris;10
201;Métro;PORTE DE LA CHAPELLE;1276901;12;;;;;Paris;18
124;Métro;DUROC;1972711;10;13;;;;Paris;7
143;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;1726493;5;;;;;Pantin;
122;Métro;VICTOR HUGO;1991304;2;;;;;Paris;16
202;Métro;PLACE MONGE;1269871;7;;;;;Paris;6
126;Métro;CHEVALERET;1923876;6;;;;;Paris;13
148;Métro;GARIBALDI;1697555;13;;;;;Saint Ouen;
127;Métro;JUSSIEU;1891986;7;10;;;;Paris;5
208;Métro;BROCHANT;1227003;13;;;;;Paris;17
132;Métro;GONCOURT;1829817;11;;;;;Paris;11
150;Métro;CRETEIL-POINTE DU LAC;1684557;8;;;;;Créteil;
129;Métro;ALEXANDRE DUMAS;1849785;2;;;;;Paris;11
215;Métro;CARREFOUR PLEYEL;1205747;13;;;;;Saint Denis;
134;Métro;CHARONNE;1815517;9;;;;;Paris;12
153;Métro;SAINT-PLACIDE;1673383;4;;;;;Paris;6
135;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;1808155;8;;;;;Maisons -Alfort;
226;Métro;CORVISART;1157408;6;;;;;Paris;13
144;Métro;SAINT-GERMAIN DES PRES;1712923;4;;;;;Paris;6
155;Métro;CHARENTON-ECOLES;1654160;8;;;;;Charenton;
138;Métro;CORENTIN CELTON;1774654;12;;;;;Issy Les Moulineaux;
233;Métro;IENA;1093805;9;;;;;Paris;16
146;Métro;TERNES;1703632;2;;;;;Paris;17
160;Métro;ARGENTINE;1603575;1;;;;;Paris;17
141;Métro;BOUCICAUT;1734347;8;;;;;Paris;15
241;Métro;VAVIN;1009201;4;;;;;Paris;14
151;Métro;JOURDAIN;1683473;11;;;;;Paris;20
164;Métro;SIMPLON;1576778;4;;;;;Paris;18
149;Métro;POISSONNIERE;1686977;7;;;;;Paris;10
247;Métro;QUATRE SEPTEMBRE;938821;3;;;;;Paris;2
176;Métro;PARMENTIER;1499805;3;;;;;Paris;11
167;Métro;CAMBRONNE;1567953;6;;;;;Paris;15
156;Métro;LEDRU-ROLLIN;1636428;8;;;;;Paris;12
251;Métro;SEVRES-LECOURBE;923347;6;;;;;Paris;15
195;Métro;SAINT-MAUR;1331250;3;;;;;Paris;11
169;Métro;CENSIER-DAUBENTON;1557698;7;;;;;Paris;6
158;Métro;PLACE DES FETES;1620143;7bis;11;;;;Paris;19
260;Métro;ABBESSES;854658;12;;;;;Paris;18
199;Métro;LAMARCK-CAULAINCOURT;1283881;12;;;;;Paris;18
170;Métro;ALMA-MARCEAU;1547789;9;;;;;Paris;8
166;Métro;FAIDHERBE-CHALIGNY;1570746;8;;;;;Paris;12
264;Métro;AVENUE EMILE ZOLA;823178;10;;;;;Paris;15
204;Métro;CADET;1240692;7;;;;;Paris;9
184;Métro;QUAI DE LA GARE;1410543;6;;;;;Paris;13
173;Métro;BILLANCOURT;1525990;9;;;;;Boulogne Billancourt;
267;Métro;MONTGALLET;804190;8;;;;;Paris;12
